,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
56,Suave + 2*2km ,11.64,3271,131.4,Run,8143896027,20-11-2022,"[40.63835942186415, -3.1629983335733414]","[40.63817175105214, -3.1626446172595024]",12.81,21.97,82.2,41.0,154.8,171.0,736.2,685.4,,,,,,54.52,11,Sunday,46,11,2022
57,"2*2000+1000 con José, Dani y Trijueque",9.05,2599,0.0,Run,8143895766,17-11-2022,[],[],12.53,20.97,79.8,41.0,161.8,181.0,725.0,723.5,,,,,,43.32,9,Thursday,46,11,2022
58,Suave pero no demasiado ,6.44,1965,79.6,Run,8116319637,14-11-2022,"[40.63842832110822, -3.162963632494211]","[40.63834995031357, -3.1628830824047327]",11.8,25.73,82.6,41.0,118.6,145.0,737.7,686.2,,,,,,32.75,12,Monday,46,11,2022
59,Enfriar tras controlado,1.21,405,0.0,Run,8110311292,13-11-2022,[],[],10.77,14.79,82.3,41.0,141.5,152.0,12083.2,2934.4,,,,,,6.75,10,Sunday,45,11,2022
60,8km controlado ,12.76,3282,56.1,Run,8110310906,13-11-2022,"[40.67795544862747, -3.181967167183757]","[40.678464313969016, -3.181073321029544]",14.0,20.25,82.7,41.0,160.1,180.0,679.0,651.5,,,,,,54.7,9,Sunday,45,11,2022
61,2x(15*30-30)r2' ,14.01,4062,66.7,Run,8102959452,11-11-2022,"[40.63842966221273, -3.1628979183733463]","[40.63856201246381, -3.163162786513567]",12.42,25.62,81.7,41.0,172.9,188.0,698.5,632.1,,,,,,67.7,18,Friday,45,11,2022
62,Rodaje tranqui por pistas,7.69,2269,62.1,Run,8093182551,09-11-2022,"[40.63851557672024, -3.1628091540187597]","[40.63805649988353, -3.1626210641115904]",12.2,26.47,81.7,41.0,172.0,196.0,724.6,698.5,,,,,,37.82,17,Wednesday,45,11,2022
63,"10 x 3' Peru, Dani y Trijueque",15.02,4439,150.5,Run,8093182484,08-11-2022,"[40.62725172378123, -3.1518641486763954]","[40.62736923806369, -3.1516093388199806]",12.18,20.82,82.9,41.0,138.3,168.0,771.9,720.9,,,,,,73.98,8,Tuesday,45,11,2022
64,Soltar post carrera hasta coche,5.5,1748,109.6,Run,8076050826,06-11-2022,"[40.53717493079603, -3.6181801836937666]","[40.5563999991864, -3.6596416030079126]",11.34,24.94,81.9,41.0,168.1,185.0,720.0,634.6,,,,,,29.13,10,Sunday,44,11,2022
65,Alcobendas 2022 ,10.18,2131,29.0,Run,8076048968,06-11-2022,"[40.556085677817464, -3.6619202233850956]","[40.53765144199133, -3.6180526111274958]",17.2,25.16,84.8,41.0,153.2,191.0,724.9,631.5,,,,,,35.52,9,Sunday,44,11,2022
66,Calentamiento Alcobendas,1.73,560,16.5,Run,8076046271,06-11-2022,[],[],11.13,24.03,82.3,41.0,146.2,167.0,724.9,707.8,,,,,,9.33,9,Sunday,44,11,2022
67,Suave 6x30'' ,6.07,1858,71.9,Run,8066711057,04-11-2022,[],[],11.76,27.82,79.4,41.0,165.4,178.0,712.3,639.6,,,,,,30.97,12,Friday,44,11,2022
68,4*1000 r1'30 biketimers,16.01,4755,149.9,Run,8059252158,02-11-2022,"[40.63216385431588, -3.180546350777149]","[40.63836470246315, -3.1628863513469696]",12.12,24.19,80.4,41.0,150.0,179.0,737.7,650.5,,,,,,79.25,18,Wednesday,44,11,2022
69,Carrera a la hora del almuerzo,6.17,1733,83.9,Run,8059251711,01-11-2022,"[40.63850736245513, -3.162976037710905]","[40.638282308354974, -3.1627225689589977]",12.82,23.22,79.7,41.0,145.8,180.0,724.8,658.0,,,,,,28.88,12,Tuesday,44,11,2022
